Start at: Wed Mar 09 2016 17:52:38 GMT+0800 (CST)

All Comments: 1615
DeviceType          Count               Percent
酷派大神 F1             1                   0.061919504643962855%
魅族 MX               1                   0.061919504643962855%
三星 Galaxy S4 LTE-A  1                   0.061919504643962855%
摩托罗拉 XT316          1                   0.061919504643962855%
戴尔灵越 3543           1                   0.061919504643962855%
技德 Remix SK1W       1                   0.061919504643962855%
夏普 Aquos Phone Zeta 1                   0.061919504643962855%
OPPO Find 7 标准版     1                   0.061919504643962855%
华为 C8818            1                   0.061919504643962855%
华为 畅享5s             1                   0.061919504643962855%
iPad Air            1                   0.061919504643962855%
三星 Galaxy Note 2    1                   0.061919504643962855%
惟幄 VBS7             1                   0.061919504643962855%
iPad mini           1                   0.061919504643962855%
vivo X510t          1                   0.061919504643962855%
酷派 8720L            1                   0.061919504643962855%
索尼 Xperia Z5C       1                   0.061919504643962855%
TCL P331M           1                   0.061919504643962855%
YotaPhone 2         1                   0.061919504643962855%
中兴 N909             1                   0.061919504643962855%
荣耀 畅玩4C             1                   0.061919504643962855%
HTC 8X              1                   0.061919504643962855%
iPhone 5c  蓝        1                   0.061919504643962855%
三星 Galaxy J5        1                   0.061919504643962855%
一加手机 X              1                   0.061919504643962855%
Moto Photon Q       1                   0.061919504643962855%
三星 ATIV S           1                   0.061919504643962855%
宏碁 	Aspire 4752     1                   0.061919504643962855%
三星 Galaxy J7        1                   0.061919504643962855%
Acer Iconia W700    1                   0.061919504643962855%
华硕 ZenFone 2        1                   0.061919504643962855%
乐视超级手机1 Pro         1                   0.061919504643962855%
诺基亚 Lumia 735       1                   0.061919504643962855%
诺基亚 Lumia 636       1                   0.061919504643962855%
荣耀 X2               1                   0.061919504643962855%
中兴 Grand S II LTE   1                   0.061919504643962855%
vivo X5M            1                   0.061919504643962855%
WP客户端               1                   0.061919504643962855%
小米平板                1                   0.061919504643962855%
诺基亚 Lumia 520T      1                   0.061919504643962855%
HTC Droid DNA       1                   0.061919504643962855%
荣耀6 Plus            1                   0.061919504643962855%
iPhone 4s 黑         1                   0.061919504643962855%
诺基亚 XL 4G           1                   0.061919504643962855%
索尼 Xperia Z1 炫彩版    1                   0.061919504643962855%
三星 Galaxy Note edge 1                   0.061919504643962855%
HTC One E8          1                   0.061919504643962855%
华为 麦芒4              1                   0.061919504643962855%
华为 P6               1                   0.061919504643962855%
荣耀平板                1                   0.061919504643962855%
iPhone 5c  黄        1                   0.061919504643962855%
三星 T800             1                   0.061919504643962855%
黑莓 Priv             1                   0.061919504643962855%
戴尔灵越 5437           1                   0.061919504643962855%
Surface Pro         1                   0.061919504643962855%
戴尔灵越 N4050          1                   0.061919504643962855%
小米 4S               1                   0.061919504643962855%
HTC One X9          1                   0.061919504643962855%
